property_description,id,owner,listing_type,date,price,no_of_reviews,neighbourhood,latitude,longitude
Delightful 2BR Family Apartment at Clarke Quay,20237941,Angie,Home,13/8/23,344,11,Singapore River,1.28891,103.84395
"Not Home Club St, awesome view!",3212083,Bill,Not Home,15/4/23,200,23,Outram,1.28216,103.84714
✪✪2BR Amazing City View (zsm),5607234,Alvin,Home,16/8/23,250,12,Novena,1.32568,103.85009
Charming 2-Bedroom Apartment @ Robertson Quay,23645713,Angie,Home,12/8/23,398,20,Singapore River,1.2907,103.84165
2BR (For 4) Apt Orchard/Stevens/UNESCO *MRT* B,4026239,Catherine,Home,25/8/23,339,29,Tanglin,1.31539,103.82586
Two Bedroom Apartment - Oakwood Premier,23950615,Oakwood Premier OUE Singapore,Home,22/7/23,581,11,Downtown Core,1.27566,103.84936
Singapore Private Mini Room!,2085130,David,Not Home,20/8/23,461,11,Novena,1.32347,103.85213
Modern Apartment near Clarke Quay and Orchard road,21631361,Jane珍珍,Home,7/8/23,336,14,Tanglin,1.29248,103.83112
Best location! Cosy & spacious Apt near  bugis MRT,28570820,Kenneth,Home,23/2/23,193,51,Downtown Core,1.29688,103.85562
City View Brand New Modern 2BR + Loft near MRT,33488331,Donald,Home,21/4/23,337,20,Downtown Core,1.29806,103.85851
2BR (For 3) Apt Orchard/Stevens/UNESCO *MRT* A,1233239,Catherine,Home,26/7/23,240,29,Tanglin,1.31507,103.82704
2BR (For 3) Apt Orchard/Stevens/UNESCO *MRT* A,4450681,Catherine,Home,11/8/23,240,15,Tanglin,1.31652,103.82739
Rare Twin Studios /2rm @MarinaBaySG,8721639,Betty,Home,27/4/23,408,23,Downtown Core,1.28039,103.85233
Prime Loft Apt in the heart of Orchard Road,20084815,Kay,Home,4/8/23,260,12,Orchard,1.30399,103.83351
"Modern, Loft Living in Art Deco Shophouse - CBD",27562336,Your Community Host,Home,3/10/23,260,15,Singapore River,1.28714,103.84628
Cosy Room with Workstation & WiFi,5112393,Jasmine,Not Home,11/3/23,69,16,Tanglin,1.29611,103.82991
"Contemporary, Modern 2 Bedroom w/ Balcony - CBD",27559234,Your Community Host,Home,12/8/23,240,14,Singapore River,1.28791,103.84602
2 Bedroom @ Bugis Central BS,29163836,Aaron,Home,15/8/23,200,13,Rochor,1.30288,103.85179
✪1BR Nice view Near Novena Sky (LT),14548711,Alvin,Home,30/4/23,139,36,Novena,1.32692,103.84802
Heritage town house near Orchard,30835401,Sunny,Home,10/8/23,687,23,Rochor,1.30194,103.8475
【❤HOT DEAL!】Berra Suite@CityCenter【Marina Bay】,36099111,Be My Home,Home,26/8/23,437,11,Downtown Core,1.28135,103.8533
1 Bedroom @ M -  Central 8M8,10023927,Aaron,Home,4/8/23,131,11,Rochor,1.30584,103.84986
TWO BEDS STUDIO IN CBD克拉码头双床,10748142,Peter,Home,5/8/23,256,31,Singapore River,1.28868,103.84704
4br Orchard Propinquity next to MRT,5646028,Ben,Home,10/8/23,628,14,Orchard,1.30372,103.83478
The Center of Singapore; China Town,10013630,Gordon,Home,12/8/23,411,97,Outram,1.28464,103.84629
Exclusive 4 BR Penthouse with Views,888236,Linton,Home,16/12/23,243,14,Novena,1.31314,103.84081
Contemporary Spacious Home in City Centre,25044951,Kiwi Sg Home,Home,23/7/23,600,38,Rochor,1.30186,103.84978
Studio Apartment - Oakwood Premier,26925552,Oakwood Premier OUE Singapore,Home,7/8/23,300,11,Downtown Core,1.27707,103.84808
❀❀2BR City View Cosy @ Balestier (MZ1),4123908,Alvin,Home,5/8/23,247,26,Novena,1.32419,103.85284
City Hall  Loft,8038239,Heritage Apartments,Home,8/8/23,177,101,Downtown Core,1.29628,103.85365
Apartment in the heart of Singapore,21015880,Jan,Home,26/8/23,177,16,Rochor,1.29923,103.85207
Cecil Street Premium Loft Apartment,21314866,Heritage Apartments,Home,22/8/23,177,14,Downtown Core,1.28103,103.84884
4br Luxury Heart of Orchard Next to MRT,23632208,Ben,Home,23/8/23,581,21,Orchard,1.30495,103.83279
Ann Siang Stylish Two Bedroom Apartment,23723333,Heritage Apartments,Home,31/3/23,160,23,Downtown Core,1.28021,103.84599
"Entire 5 bedroom Apartment near MRT, Little India, Bugis, Orchard!",27778266,Su Moy,Home,25/7/23,550,11,Rochor,1.30401,103.85024
Modern apartment in Robertson Quay,6697057,Gema,Home,12/8/23,137,27,Singapore River,1.29209,103.84109
"Stylish Studio, Large Roof Terrace in Heart of CBD",27562323,Your Community Host,Home,4/5/23,181,23,Singapore River,1.28799,103.84626
Open Concept Studio (Opposite Chinatown MRT),6238568,Shirley,Home,13/3/23,106,22,Outram,1.28563,103.845
✪1BR CITY VIEW BED ROOM  (T),14423793,Alvin,Home,11/8/23,150,12,Novena,1.32556,103.85404
Tanjong Pagar Studio Premium Apartment,23231081,Heritage Apartments,Home,12/8/23,150,14,Downtown Core,1.27925,103.84548
1 bdrm Aptmt Orchard/Stevens/UNESCO Area #1,1229614,Catherine,Home,27/7/23,149,29,Tanglin,1.31503,103.82614
GREAT City View 2200sft Apartment @ CBD Chinatown,28748709,Regina & Co.,Home,10/8/23,519,55,Outram,1.28625,103.84409
*Charming & Spacious* Apartment in Clarke Quay,29494102,Katherine,Home,12/5/23,340,44,Singapore River,1.29021,103.84489
Studio Apartment near UNESCO Site/Orchard #38,4979889,Catherine,Home,30/7/23,144,23,Tanglin,1.31671,103.82831
Studio Apartment near UNESCO Site/Orchard #48,23673101,Catherine,Home,24/7/23,144,23,Tanglin,1.31565,103.82842
Beautiful 2 Bedr. apart next to MRT,7323075,Cintia,Home,10/7/23,200,46,Novena,1.32214,103.84917
Lovely New 2Br @ 2 MRT Novena Newton Orchard BEST,14376831,John,Home,10/7/23,250,35,Novena,1.3159,103.84241
Luxury living in Robertson Quay,10638481,Lisa,Home,22/8/23,160,11,River Valley,1.29423,103.84141
✪1BR @ Town walking distance to Bugis,5235270,Alvin,Home,12/8/23,137,23,Rochor,1.30163,103.84839
Boat Quay Studio Single Apartment,23315012,Heritage Apartments,Home,13/5/23,135,23,Singapore River,1.28872,103.84847
♥♥2BR Spacious & Comfy Apartment @ Kim keat (BL4),7085521,Darcy,Home,23/7/23,235,12,Novena,1.32618,103.85394
Super Bay view Entire 4BR 1Min MRT超级金沙景4卧室近地铁包接送机,31582998,Lily,Home,23/7/23,458,25,Downtown Core,1.27793,103.85221
Beautiful Apartment above MRT in Chinatown #37,6523372,Win,Home,14/7/23,304,115,Outram,1.28107,103.84132
Bright & Beautiful 2 Bedroom Apt above MRT #04,10367479,Win,Home,13/7/23,300,76,Outram,1.28073,103.84085
Premium 2 Bedroom Apt in Chinatown above MRT #03,12394037,Win,Home,2/1/23,300,95,Outram,1.28107,103.84063
Orchard Luxury Stylish Resort 3 Bedroom.,14211027,Prash & Niko,Home,16/8/23,450,46,Tanglin,1.29597,103.82883
Luxury 2 BR Home above MRT in Chinatown #37 (市区公寓),20621511,Mich,Home,7/8/23,300,23,Outram,1.28125,103.83975
Luxury 2 BR Home above MRT in Chinatown #31 (市区公寓),20805123,Mich,Home,3/7/23,300,23,Outram,1.27931,103.84022
cozy and huge 4BR apartment in town near MRT 回忆客栈,32023930,Moon&Kim,Home,28/6/23,450,16,Rochor,1.31041,103.85322
2BR Family Suite near Marina Bay /Chinatown,23883137,Amelia,Home,2/8/23,300,30,Outram,1.28324,103.84644
Premium Studio 2 Mins Walk To Orchard (300 sqft),23675202,Abegail,Home,31/3/23,149,12,River Valley,1.29896,103.83643
Convenient City Centre 2BR Apartment above MRT #31,9097877,Win,Home,23/3/23,286,113,Outram,1.28362,103.84604
Singapore Room for Rent!,2142826,David,Not Home,4/8/23,281,21,Novena,1.32423,103.85293
【❤TOP PICK!】Altus Suite@City Center【Marina Bay】,33705160,Be My Home,Home,23/6/23,281,33,Downtown Core,1.28026,103.85344
Small Cozy  Studio Room in Orchard Road (200 sqft),16846533,Abegail,Home,22/11/23,119,20,Orchard,1.29874,103.83863
Studio Apt Orchard/Stevens Area #1,4138944,Catherine,Home,11/8/23,118,48,Tanglin,1.31566,103.82666
Studio Apt Orchard/Stevens Area #3,23070730,Catherine,Home,23/12/23,118,13,Tanglin,1.31583,103.82612
2BR Apt Tanjong Pagar Downtown/CBD #02,15154001,Win,Home,27/7/23,275,105,Downtown Core,1.2755,103.84553
Central 2 BR Apt above MRT in Chinatown #46 (市区公寓),21236579,Win,Home,10/8/23,275,12,Outram,1.27982,103.84094
Beautiful 2BR unit above MRT in Downtown #3 (市区公寓),21430677,Mich,Home,12/8/23,275,26,Outram,1.28019,103.84006
"Spacious 2BR in Downtown CBD, up to 7 guests",23423657,Sam,Home,13/8/23,410,113,Downtown Core,1.27815,103.84747
Charming Studio @ River Valley,16232554,Alex,Home,23/12/23,115,23,River Valley,1.29482,103.84014
Ann Siang Hill Skylight Studio,23277415,Heritage Apartments,Home,10/7/23,115,23,Outram,1.28147,103.8463
3 Bedroom Apartment Near Dhaut Ghaut SL,27470571,Aaron,Home,28/11/23,268,27,Rochor,1.30116,103.84742
Ben's Boring Apartment,12364366,Ben,Home,4/8/23,399,69,Newton,1.30259,103.83927
3BR+3BA MODERN APT IN CENTRAL OF ORCHARD 313,29861630,Lucy,Not Home,10/8/23,399,16,River Valley,1.29856,103.83496
4BR+3BA  7 Min Walk to somerset 313 cozy apartment,28948302,Lucy,Not Home,11/8/23,399,26,River Valley,1.29749,103.83474
3BR high floor luxury apartment  near CBD1 minMRT,33506058,Z,Home,23/9/23,399,20,Downtown Core,1.27501,103.84558
Chinatown Brand New Studio Premium Apartment,29579499,Heritage Apartments,Home,11/8/23,156,16,Outram,1.28153,103.84684
Brand New 2 bedroom 270 Degree Seaview Marina Bay,4399550,Bryan,Home,13/8/23,387,148,Downtown Core,1.27522,103.84696
Huge-3BR Apt in Chinatown Only 1 min walk to MRT,20509769,Michael,Home,12/8/23,381,81,Outram,1.28626,103.8429
Superb 3-storey floor Villa FOR Large Grp!!!,22781231,Michael,Home,3/2/23,381,50,Novena,1.31811,103.84271
"Downtown Modern 2BR next to MRT, CBD City Views",34564956,Sam,Home,24/5/23,381,23,Downtown Core,1.27523,103.84536
Central area Marina Bay view 2BREntire整套滨海湾景高层2房2卫,30233920,Lily,Home,23/11/23,378,30,Singapore River,1.28778,103.84681
"CBD 3BR Sea view, Restaurant &1 mins MRT金融区海景三房地铁上",31486547,Hanna,Home,2/1/23,378,26,Downtown Core,1.27836,103.84569
CBD 3BR 1MinMRT high F ocean view金融中心高楼层海景3房三卫,27675139,Hanna,Home,2/1/23,378,13,Downtown Core,1.2785,103.85215
Fully Serviced Luxury Suite at City Fringe C01,20000821,Simon,Home,21/7/23,251,12,Novena,1.32333,103.85381
Pool View Room near Clark Quay & Orchard,23220212,Belle,Not Home,11/8/23,94,26,River Valley,1.29303,103.8361
City views central location 2BR CBD Chinatown,2122339,Alex,Home,1/8/23,250,163,Outram,1.28153,103.84808
Central 1BR Suite above MRT in Chinatown (#64),5236432,Win,Home,23/2/23,250,41,Outram,1.27962,103.83986
Central Master bedroom in Orchard/River Valley,7538532,Nellie,Not Home,5/8/23,75,13,River Valley,1.29795,103.83012
❀❀2BR Nice homey unit city fringe (BL2),13265702,Alvin,Home,21/8/23,250,23,Novena,1.32414,103.8527
Tanjong Pagar Pristine Studio Apartment,23759060,Heritage Apartments,Home,13/8/23,150,11,Outram,1.27764,103.84373
★CENTRAL★WALK EVERYWHERE★NEAR 6 METROS★QUIET,12995321,Yan,Home,16/7/23,185,239,Newton,1.29971,103.84421
2BR Condo near Orchard Road for a happy family,23057381,Jg,Home,26/7/23,185,45,Tanglin,1.29627,103.82928
AN ORCHARD METROPOLIS-master bedroom,32312651,SugarKenn,Not Home,13/2/23,181,15,Newton,1.31572,103.83458
Luxury 2 BR Home above MRT in Chinatown #16 (市区公寓),16460492,Mich,Home,12/8/23,240,52,Outram,1.27965,103.8404
Clarke Quay Comfy & Modern Studio Apartment,23928230,Heritage Apartments,Home,30/11/23,144,30,Singapore River,1.28864,103.84827
Charming apt in River Valley,6034462,Alex,Home,16/8/23,119,56,River Valley,1.29467,103.83839
Charming Studio at River Valley,7723123,Alex,Home,28/7/23,119,40,River Valley,1.29667,103.83883
Cozy Studio at River Valley,7811239,Alex,Home,1/1/23,119,38,River Valley,1.29506,103.83996
Small Cozy Studio In Somerset Orchard (250 sqft),16744167,Abegail,Home,12/8/23,119,16,River Valley,1.29896,103.8371
Comfortable Small Studio in Orchard (200 sqft),16848828,Abegail,Home,11/8/23,119,12,River Valley,1.29774,103.83639
Cozy Apt Near Orchrd/Botanic Garden,3844690,Mara,Home,27/6/23,237,61,Tanglin,1.32045,103.82116
❤230º Marina Bay View 2B2B  Downtown MRT 金莎景近地铁!,29836238,Nathan,Home,30/5/23,350,22,Downtown Core,1.28105,103.85168
