property_description,id,owner,listing_type,date,price,no_of_reviews,neighbourhood,latitude,longitude
Novena 2BR 6pax 5min to MRT/5min ride to Orchard,23622570,Kenny,Home,28/2/23,250,22,Novena,1.31732,103.84082
Luxury Duplex Corner Unit with Ocean View @ CBD,30805348,Kaye,Home,27/5/23,250,11,Downtown Core,1.2754,103.84358
The Chronicles of Ben,5645349,Ben,Home,5/2/23,249,25,Newton,1.30527,103.83424
Entire 2br In Bugis - 1min MRT/Walk Everywher,3925851,Sara,Home,24/12/23,244,77,Rochor,1.30176,103.85217
Not Home Novena (2 Stops to Orchard),2673027,Matt,Not Home,20/11/23,81,43,Novena,1.31626,103.84444
Luxury room around Marina Bay and infinity pool,29454230,Jing,Not Home,6/2/23,481,12,Downtown Core,1.28346,103.8578
Upscale Studio @ Emerald Hill 5,5235612,Bc,Home,2/3/23,160,76,Newton,1.30634,103.84011
1 Bedroom Loft Ultra-Luxury Suite 6 Somerset MRT,11612771,Bc,Home,21/8/23,160,87,Newton,1.30542,103.8389
Excellent Central CBD Location and Great City View,21403392,Ay,Home,23/8/23,240,116,Downtown Core,1.27677,103.84651
Cozy Studio in River Valley,7614627,Alex,Home,21/8/23,119,57,River Valley,1.29611,103.84064
Lovely New 1Br & Hall @ MRT Novena Newton Orchard,25328461,John,Home,12/8/23,119,47,Novena,1.3164,103.84213
